z_over_c,CP
0.00000000,-1.76317078
0.00250094,-0.09868249
0.00850975,0.71969698
0.01457309,0.89090679
0.02132490,1.00292447
0.03346316,0.98514688
0.04766476,0.94658587
0.05494863,0.93411401
0.06476029,0.89758468
0.08171539,0.84420190
0.09817152,0.79986318
0.11525451,0.75540689
0.13126361,0.71006997
0.14732551,0.67156534
0.16413843,0.63852484
0.18060030,0.60561025
0.19718923,0.57724121
0.21329555,0.55064879
0.22978558,0.52400689
0.24667784,0.49651555
0.26181486,0.47392736
0.26950627,0.46284733
0.27903107,0.44245062
0.29596951,0.42803237
0.31210098,0.41210049
0.32856160,0.39143697
0.34533416,0.37143476
0.36178545,0.36385300
0.37796900,0.35121420
0.39440329,0.33827995
0.41111712,0.31803055
0.42741448,0.31716446
0.44360244,0.30961844
0.46021817,0.30003898
0.47693058,0.29143913
0.49339524,0.30222738
0.50980477,0.30463975
0.52632292,0.30596099
0.54294628,0.30317074
0.55945849,0.29610746
0.57582949,0.29013609
0.59216823,0.28929369
0.60877001,0.29200234
0.62538754,0.29919170
0.64183461,0.30918843
0.65810459,0.32082034
0.67403252,0.33198488
0.68888283,0.34991739
0.70264185,0.35991792
0.71460525,0.41131028
0.72001419,0.25292223
0.72044183,0.23243985
0.72066491,0.31441902
0.72275254,0.36490515
0.72604989,0.40977527
0.75612634,0.38272426
0.77460328,0.38823881
0.79097928,0.39565464
0.80275122,0.41294245
0.81022034,0.43202771
0.81759806,0.44844981
0.82342394,0.45962396
0.82826787,0.46147171
0.84483960,-0.22154735
0.84830290,-0.22161107
0.85244251,-0.22169633
0.85696432,-0.22150818
0.86117643,-0.22158723
0.86368276,-0.22097948
0.86593169,-0.22097948
0.86758162,-0.22097948
0.86952629,-0.22145299
0.87358323,-0.22103227
0.87787761,-0.22101382
0.88196853,-0.22072901
0.88618021,-0.22076346
0.89248830,-0.22033356
0.90089692,-0.22014513
0.90944135,-0.21976655
0.91785401,-0.21962259
0.92606697,-0.21973287
0.93872809,-0.21872035
0.95520559,-0.21829969
0.97104045,-0.21747999
0.98541126,-0.21698700
0.99438809,-0.21658715
0.99841647,-0.22425338
0.99991848,-0.22483562
0.99999105,-0.23346556
0.99999914,-0.22242404
