z_over_c,CP
0.00000000,0.20209973
0.00133913,0.79041460
0.00701660,1.00560619
0.01748740,0.79207780
0.03007216,0.66010394
0.04354673,0.63006204
0.05776247,0.57419637
0.07218065,0.52594611
0.09387305,0.47853156
0.12261157,0.41291013
0.15109188,0.35045644
0.18019016,0.31416192
0.20961698,0.27264535
0.23868850,0.24720825
0.25702010,0.21900576
0.27122067,0.20566605
0.29622306,0.17589907
0.32530109,0.16786276
0.35429078,0.14833704
0.38322406,0.14055030
0.41217046,0.13438641
0.44063294,0.12365372
0.46956318,0.13086552
0.49889874,0.13295378
0.52775230,0.16234726
0.55682508,0.17013729
0.58597439,0.16719841
0.61496005,0.17836780
0.64389366,0.20724215
0.66547748,0.23303902
0.67610690,0.24805592
0.68307552,0.25283038
0.69274011,0.27329864
0.70168193,0.29293414
0.70777097,0.31386904
0.71772286,0.26921740
0.72515802,0.39668665
0.72644901,0.15707640
0.72766868,0.34584127
0.72869936,0.32221229
0.73231712,0.31672529
0.74719059,0.31218677
0.76700555,0.32041416
0.78266691,0.33225095
0.79439215,0.34123321
0.80152011,0.34893484
0.80775918,0.35768990
0.81467359,0.36862762
0.82008421,0.37228757
0.82363013,0.37479504
0.82704471,0.37488573
0.83082411,0.37389895
0.84587109,-0.10283043
0.84874086,-0.10272223
0.85240413,-0.10255812
0.85609926,-0.10229712
0.85973618,-0.10209424
0.86163326,-0.10228827
0.86350205,-0.10237558
0.86714931,-0.10249917
0.87082945,-0.10239949
0.87444907,-0.10229947
0.87994018,-0.10212660
0.88721506,-0.10207734
0.89450000,-0.10198019
0.90192439,-0.10186669
0.90927277,-0.10158175
0.91657303,-0.10141473
0.92388830,-0.10120571
0.93119811,-0.10104154
0.94217610,-0.10058320
0.95678537,-0.10078975
0.97080143,-0.09834755
0.98347059,-0.09965688
0.99363278,-0.08605126
0.99813475,-0.15848315
0.99955970,-0.12685550
