z_over_c,WSS
0.00000000,54.15778186
0.00250094,24.10754577
0.00850975,7.14802489
0.01457309,2.46699315
0.02132490,1.28881257
0.03346316,0.62404549
0.04766476,1.94437089
0.05494863,2.14497436
0.06476029,3.07106868
0.08171539,4.18667319
0.09817152,4.91091519
0.11525451,5.40987385
0.13126361,6.12143795
0.14732551,6.83359397
0.16413843,7.09469342
0.18060030,7.56936166
0.19718923,7.90219776
0.21329555,8.17596520
0.22978558,8.48352757
0.24667784,8.85321364
0.26181486,9.21290798
0.26950627,9.06516003
0.27903107,9.52117812
0.29596951,9.62026501
0.31210098,9.66735814
0.32856160,9.83504524
0.34533416,10.26627983
0.36178545,10.05379249
0.37796900,10.21213246
0.39440329,10.18191797
0.41111712,10.67076179
0.42741448,10.37522234
0.44360244,10.37186761
0.46021817,10.35182388
0.47693058,10.62970031
0.49339524,10.06863475
0.50980477,9.92484104
0.52632292,9.81540173
0.54294628,9.80382700
0.55945849,9.95203871
0.57582949,10.03494283
0.59216823,9.94678804
0.60877001,9.78243240
0.62538754,9.51229578
0.64183461,9.19155013
0.65810459,8.86912054
0.67403252,8.52522480
0.68888283,8.29314924
0.70264185,8.04562793
0.71460525,9.27590501
0.72001419,0.61075616
0.72044183,1.20315463
0.72066491,4.62765618
0.72275254,3.67987272
0.72604989,0.91568166
0.75612634,2.06618505
0.77460328,2.55574246
0.79097928,2.68838278
0.80275122,2.62392155
0.81022034,2.22005533
0.81759806,1.40238009
0.82342394,0.30526883
0.82826787,0.27151097
0.84483960,0.48458437
0.84830290,0.74404756
0.85244251,1.29238648
0.85696432,1.59956474
0.86117643,1.88163151
0.86368276,1.70634242
0.86593169,1.70634242
0.86758162,1.70634242
0.86952629,1.75378488
0.87358323,2.02334433
0.87787761,1.83060514
0.88196853,1.86516493
0.88618021,1.80049579
0.89248830,1.76927570
0.90089692,1.81742248
0.90944135,1.82607954
0.91785401,1.69964188
0.92606697,1.40579587
0.93872809,1.14198918
0.95520559,1.07206078
0.97104045,1.04874497
0.98541126,0.96009226
0.99438809,1.08086731
0.99841647,0.79961483
0.99991848,0.76853693
0.99999105,1.00140247
0.99999914,0.19109580
