z_over_c,WSS
0.00000000,19.97168057
0.00133913,3.30316571
0.00701660,0.03299506
0.01748740,4.74463759
0.03007216,7.20857124
0.04354673,7.47958707
0.05776247,8.40730014
0.07218065,8.76012726
0.09387305,9.66009958
0.12261157,10.09070533
0.15109188,11.44388474
0.20961698,11.86464189
0.23868850,11.69044301
0.27122067,11.47198101
0.29622306,12.49768438
0.32530109,12.10115725
0.35429078,12.35380567
0.41217046,11.80643971
0.46956318,11.32045814
0.49889874,11.67445388
0.52775230,10.47803731
0.55682508,10.18960221
0.58597439,10.34616467
0.61496005,10.10269179
0.64389366,9.38200940
0.66547748,8.66329931
0.67610690,8.31581193
0.68307552,8.12434860
0.69274011,7.89171446
0.71772286,3.81559696
0.72515802,12.53188878
0.72644901,1.36503013
0.72766868,3.79636663
0.72869936,0.91788893
0.73231712,0.75937376
0.74719059,1.69649170
0.78266691,2.50813185
0.79439215,2.33612251
0.80152011,2.56270910
0.80775918,2.00335391
0.81467359,1.44004282
0.82704471,0.41514240
0.83082411,0.82770705
0.84587109,0.20488859
0.84874086,0.28465620
0.85240413,0.65776700
0.85609926,1.38649570
0.85973618,1.27807435
0.86163326,1.05561955
0.86350205,1.17220678
0.86714931,1.26323753
0.87082945,1.42471376
0.87444907,1.68082382
0.87994018,1.61464826
0.88721506,1.54341259
0.89450000,1.46791596
0.90192439,1.53021464
0.90927277,1.55556854
0.91657303,1.55551184
0.92388830,1.42432660
0.93119811,1.33962420
0.94217610,1.29837636
0.95678537,1.05425274
0.97080143,0.82687842
0.98347059,0.80704039
0.99363278,2.32473903
0.99813475,1.44933028
0.99955970,0.98444748
