z_over_c,CP
0.00000000,0.13379563
0.00183256,0.79818105
0.00893660,1.01059970
0.02106180,0.85099779
0.03516902,0.77131418
0.05023789,0.72044304
0.06570938,0.65841272
0.08068863,0.61275550
0.09619019,0.57574183
0.11230749,0.53610733
0.12420985,0.50144205
0.13129959,0.48824704
0.14262250,0.45613487
0.15870353,0.43293849
0.17062324,0.41245733
0.17780936,0.40375538
0.18913741,0.38071419
0.20523662,0.35586451
0.21735515,0.34188674
0.22469088,0.33443430
0.23581116,0.31643672
0.25159552,0.29437573
0.26697554,0.27096358
0.28224529,0.25241247
0.29782346,0.23536761
0.31349661,0.22736199
0.32864232,0.21066307
0.34410675,0.19543053
0.35989616,0.18325390
0.37537999,0.18197578
0.39070931,0.17751803
0.40606424,0.15681369
0.42167679,0.13688992
0.43725593,0.15189112
0.45277170,0.14773149
0.46497686,0.14010579
0.47256674,0.13631616
0.48343670,0.13047827
0.49904269,0.15021268
0.51470966,0.15802380
0.53025491,0.16009260
0.54580129,0.15879419
0.55800265,0.15429301
0.56564777,0.15196012
0.57661420,0.14869994
0.59223923,0.14877434
0.60786086,0.15301263
0.62334545,0.16081594
0.63876686,0.17064080
0.65395528,0.19090192
0.66577553,0.20376924
0.67310148,0.20834943
0.68314610,0.22074570
0.69684812,0.25666175
0.70976576,0.25654917
0.71909640,0.35987726
0.72376499,0.13028086
0.72673821,0.31559740
0.74108069,0.27047211
0.76277869,0.25818814
0.77946117,0.25149009
0.79480066,0.24967948
0.80589195,0.26683211
0.81261269,0.29404319
0.81584449,0.30288353
0.81891704,0.32605105
0.82279654,0.33800636
0.82792527,0.34444664
0.84563763,-0.39738613
0.84906397,-0.39747392
0.85295758,-0.39760448
0.85688198,-0.39772567
0.86024059,-0.39767122
0.86213569,-0.39772520
0.86472170,-0.39806215
0.86885229,-0.39830250
0.87461478,-0.39816587
0.88250606,-0.39824599
0.89058799,-0.39792069
0.89835051,-0.39720182
0.90606592,-0.39725339
0.91798884,-0.39668164
0.93171377,-0.40490452
0.93929557,-0.40764690
0.94933768,-0.41743993
0.96518671,-0.42805878
0.97974337,-0.44193336
0.99208292,-0.44187900
0.99911938,-0.47703945
1.00000000,-0.46608723
