z_over_c,CP
0.00000000,-0.03382159
0.00250094,0.74878943
0.00850975,1.00450737
0.01457309,0.97171182
0.02132490,0.93446074
0.03346316,0.86691522
0.04766476,0.81032109
0.05494863,0.79300020
0.06476029,0.74308744
0.08171539,0.68693131
0.09817152,0.64349612
0.11525451,0.60087218
0.13126361,0.55493748
0.14732551,0.51739266
0.16413843,0.48814160
0.18060030,0.45745240
0.19718923,0.43183630
0.21329555,0.40749005
0.22978558,0.38224759
0.24667784,0.35586752
0.26181486,0.33383545
0.26950627,0.32294527
0.27903107,0.30192514
0.29596951,0.29034123
0.31210098,0.27606541
0.32856160,0.25549503
0.34533416,0.23579493
0.36178545,0.23005870
0.37796900,0.21829705
0.39440329,0.20550621
0.41111712,0.18438535
0.42741448,0.18545314
0.44360244,0.17843233
0.46021817,0.16871556
0.47693058,0.16018210
0.49339524,0.17392383
0.50980477,0.17751887
0.52632292,0.17984572
0.54294628,0.17713519
0.55945849,0.16924604
0.57582949,0.16257193
0.59216823,0.16171472
0.60877001,0.16489952
0.62538754,0.17328285
0.64183461,0.18498109
0.65810459,0.19878438
0.67403252,0.21400006
0.68888283,0.23411374
0.70264185,0.22565987
0.71460525,0.31513449
0.72001419,0.16169979
0.72044183,0.18003793
0.72066491,0.20998770
0.72275254,0.26414711
0.72604989,0.31125902
0.75612634,0.25702262
0.77460328,0.24120814
0.79097928,0.23019748
0.80275122,0.24125806
0.81022034,0.29131696
0.81759806,0.34330398
0.82342394,0.39659033
0.82826787,0.39853785
0.84483960,-0.58315303
0.84830290,-0.58377542
0.85244251,-0.58461050
0.85696432,-0.58593622
0.86117643,-0.58726387
0.86368276,-0.58872398
0.86593169,-0.58872398
0.86758162,-0.58872398
0.86952629,-0.58997952
0.87358323,-0.59087661
0.87787761,-0.59208406
0.88196853,-0.59314206
0.88618021,-0.59431717
0.89248830,-0.59621445
0.90089692,-0.59868444
0.90944135,-0.60041368
0.91785401,-0.60298031
0.92606697,-0.60585805
0.93872809,-0.60894729
0.95520559,-0.61330106
0.97104045,-0.61836686
0.98541126,-0.62279654
0.99438809,-0.63181842
0.99841647,-0.61442630
0.99991848,-0.62573834
0.99999105,-0.61323792
0.99999914,-0.63157743
