z_over_c,WSS
0.00000000,21.58834562
0.00250094,6.35461318
0.00850975,0.12606201
0.01457309,0.67403549
0.02132490,1.59603826
0.03346316,3.96507184
0.04766476,5.25087979
0.05494863,5.53094137
0.06476029,6.29224072
0.08171539,7.17601052
0.09817152,7.76782132
0.11525451,8.07058590
0.13126361,8.70535134
0.14732551,9.36056364
0.16413843,9.39700118
0.18060030,9.72216125
0.19718923,9.91789814
0.21329555,10.09599628
0.22978558,10.33622513
0.24667784,10.65881997
0.26181486,11.00835398
0.26950627,10.75766577
0.27903107,11.24017575
0.29596951,11.28435487
0.31210098,11.26604143
0.32856160,11.36262887
0.34533416,11.83840079
0.36178545,11.50950774
0.37796900,11.66132523
0.39440329,11.49482691
0.41111712,12.07587841
0.42741448,11.69805082
0.44360244,11.65345603
0.46021817,11.54656372
0.47693058,11.89375120
0.49339524,11.19734325
0.50980477,10.96792388
0.52632292,10.79549143
0.54294628,10.74113423
0.55945849,10.90270319
0.57582949,11.01027929
0.59216823,10.91762846
0.60877001,10.72286425
0.62538754,10.39340122
0.64183461,10.00190537
0.65810459,9.54375801
0.67403252,9.20191098
0.68888283,8.37743748
0.70264185,3.43193041
0.71460525,10.45979080
0.72001419,0.98555453
0.72044183,0.96240065
0.72066491,3.97402602
0.72275254,3.70256142
0.72604989,1.76822223
0.75612634,2.11240774
0.77460328,3.28155393
0.79097928,4.09159406
0.80275122,4.46768304
0.81022034,4.05013710
0.81759806,2.78865485
0.82342394,0.78266285
0.82826787,0.43636393
0.84483960,0.42682122
0.84830290,0.97250372
0.85244251,1.87419454
0.85696432,2.50930948
0.86117643,3.01602487
0.86368276,2.77722644
0.86593169,2.77722644
0.86758162,2.77722644
0.86952629,2.84275298
0.87358323,3.33037239
0.87787761,3.04273540
0.88196853,3.02429711
0.88618021,2.88709440
0.89248830,2.93015304
0.90089692,3.14688706
0.90944135,3.48653888
0.91785401,3.62891050
0.92606697,3.41821498
0.93872809,3.51431991
0.95520559,3.71266349
0.97104045,3.62894425
0.98541126,2.95190590
0.99438809,3.09637133
0.99841647,3.47128593
0.99991848,3.34935450
0.99999105,2.90409209
0.99999914,3.09925524
