z_over_c,WSS
0.00000000,19.21482408
0.00133913,2.88197210
0.00701660,0.04997565
0.01748740,4.94962795
0.03007216,7.45963719
0.04354673,7.81264316
0.05776247,8.82756188
0.07218065,9.21655659
0.09387305,9.99745773
0.12261157,9.99402002
0.15109188,11.45863500
0.18019016,11.03471710
0.20961698,11.78772734
0.23868850,11.53452299
0.25702010,12.09951570
0.27122067,11.20144930
0.29622306,12.30681363
0.32530109,11.86000765
0.35429078,12.14219487
0.38322406,12.01347724
0.41217046,11.49557573
0.44063294,11.92969564
0.46956318,10.93358533
0.49889874,11.38724589
0.52775230,10.10774627
0.55682508,9.65565054
0.58597439,9.81010982
0.61496005,9.60520220
0.64389366,8.86867045
0.66547748,8.07266953
0.67610690,7.66394238
0.68307552,7.43968945
0.69274011,7.14036793
0.70168193,6.28969542
0.70777097,6.39575259
0.71772286,1.96195605
0.72515802,8.76605524
0.72644901,0.68541794
0.72766868,2.91622904
0.72869936,0.24097551
0.73231712,0.20283923
0.74719059,0.81342425
0.76700555,2.22399062
0.78266691,2.88911693
0.79439215,3.30978993
0.80152011,3.54717042
0.80775918,3.08108640
0.81467359,2.44632571
0.82008421,1.48332354
0.82363013,1.38373284
0.82704471,0.62559200
0.83082411,1.13207879
0.84587109,0.16376957
0.84874086,0.22468259
0.85240413,0.49556103
0.85609926,1.06286855
0.85973618,1.04433445
0.86163326,0.89862828
0.86350205,0.99589204
0.86714931,1.09872697
0.87082945,1.25302508
0.87444907,1.48095576
0.87994018,1.40397952
0.88721506,1.31250252
0.89450000,1.25257272
0.90192439,1.38745230
0.90927277,1.51594851
0.91657303,1.61994304
0.92388830,1.47571392
0.93119811,1.40068108
0.94217610,1.39498050
0.95678537,1.02242768
0.97080143,0.81969509
0.98347059,0.69644107
0.99363278,1.67443206
0.99813475,1.00704626
0.99955970,0.88705436
