z_over_c,CP
0.00000000,0.22739929
0.00133913,0.80402273
0.00701660,1.00523375
0.01748740,0.78135045
0.03007216,0.64788871
0.04354673,0.61974387
0.05776247,0.56406793
0.07218065,0.51496611
0.09387305,0.46756351
0.12261157,0.40196298
0.15109188,0.33942321
0.20961698,0.26187993
0.23868850,0.23607636
0.27122067,0.19438511
0.29622306,0.16516594
0.32530109,0.15672558
0.35429078,0.13760861
0.41217046,0.12345413
0.46956318,0.11980456
0.49889874,0.12224944
0.52775230,0.15144737
0.55682508,0.15962560
0.58597439,0.15630226
0.61496005,0.16734725
0.64389366,0.19635277
0.66547748,0.22230258
0.67610690,0.23728279
0.68307552,0.24151020
0.69274011,0.26095869
0.71772286,0.28624418
0.72515802,0.37263189
0.72644901,0.17922576
0.72766868,0.34059453
0.72869936,0.32095492
0.73231712,0.31818207
0.74719059,0.31534874
0.78266691,0.30318841
0.79439215,0.30715828
0.80152011,0.31198030
0.80775918,0.32427111
0.81467359,0.34542057
0.82704471,0.36903945
0.83082411,0.36705755
0.84587109,-0.10116786
0.84874086,-0.10118484
0.85240413,-0.10137006
0.85609926,-0.10153317
0.85973618,-0.10110919
0.86163326,-0.10133001
0.86350205,-0.10139279
0.86714931,-0.10148527
0.87082945,-0.10145370
0.87444907,-0.10150553
0.87994018,-0.10168274
0.88721506,-0.10177855
0.89450000,-0.10173864
0.90192439,-0.10179938
0.90927277,-0.10184872
0.91657303,-0.10198809
0.92388830,-0.10210788
0.93119811,-0.10235928
0.94217610,-0.10252029
0.95678537,-0.10320670
0.97080143,-0.10232603
0.98347059,-0.10365282
0.99363278,-0.09368141
0.99813475,-0.15343727
0.99955970,-0.12453469
