z_over_c,CP
0.00000000,-0.79577780
0.00041042,0.18915453
0.00390750,0.80017552
0.01204477,0.99221690
0.02331090,0.89011463
0.03544573,0.82506153
0.04759443,0.77783994
0.06018410,0.72401410
0.07357406,0.67513348
0.08385022,0.62058648
0.09660474,0.62058648
0.11813362,0.55360801
0.14400494,0.48988889
0.17038754,0.44482610
0.19637673,0.39950066
0.22193378,0.36765588
0.24769517,0.33214019
0.27387618,0.29510406
0.29975763,0.26875305
0.31644919,0.25618612
0.32905971,0.25021932
0.35101122,0.22798777
0.37713373,0.21774015
0.40309677,0.20756700
0.42890505,0.18565781
0.45437947,0.19123384
0.48019331,0.18856181
0.50620890,0.20000759
0.53220104,0.21304179
0.55839411,0.21419062
0.58429617,0.20937921
0.61015567,0.21741578
0.63601727,0.24030964
0.66179501,0.27083043
0.68081079,0.29403669
0.69262308,0.30921366
0.70357627,0.34145887
0.71397519,0.34455780
0.72140302,0.43045988
0.72427641,0.27320442
0.72552816,0.37752390
0.72650057,0.34518165
0.72746403,0.37479571
0.73946150,0.35346067
0.75839016,0.34422111
0.77275816,0.33710785
0.78325057,0.33569461
0.78974615,0.33360535
0.79870759,0.33550251
0.80812760,0.34292165
0.81387382,0.34771618
0.81658561,0.34910100
0.81889749,0.35584339
0.82218576,0.35822934
0.82643246,0.36022367
0.83074512,0.35918697
0.84495811,-0.10559828
0.84761466,-0.10551001
0.85091248,-0.10551351
0.85417812,-0.10554984
0.85744393,-0.10546526
0.86095274,-0.10575236
0.86422270,-0.10566133
0.86732394,-0.10554320
0.87233070,-0.10573426
0.87580788,-0.10561778
0.87898655,-0.10561778
0.88536640,-0.10560493
0.89203818,-0.10562264
0.89859907,-0.10557696
0.90504704,-0.10549023
0.91151221,-0.10538797
0.91816661,-0.10531057
0.92812452,-0.10514958
0.94115960,-0.10482114
0.95420379,-0.10428788
0.96714717,-0.10368630
0.97925135,-0.10334780
0.98949822,-0.10337326
0.99555053,-0.10121834
0.99828527,-0.11963827
0.99970402,-0.11308100
1.00000000,-0.11347763
