z_over_c,WSS
0.00000000,11.18289937
0.00183256,5.28742604
0.00893660,0.25783198
0.02106180,1.52919013
0.03516902,4.00863496
0.05023789,5.94405752
0.06570938,7.00077413
0.08068863,7.62033084
0.09619019,7.87427339
0.11230749,8.05809691
0.12420985,8.63771592
0.13129959,8.62901693
0.14262250,9.28047233
0.15870353,9.56644421
0.17062324,9.80047603
0.17780936,9.77053401
0.18913741,9.95760136
0.20523662,10.25150151
0.21735515,10.33686489
0.22469088,10.35871464
0.23581116,10.63528383
0.25159552,10.97593669
0.26697554,11.27514990
0.28224529,11.34794958
0.29782346,11.51175704
0.31349661,11.31320150
0.32864232,11.51266466
0.34410675,11.69909688
0.35989616,11.75596409
0.37537999,11.66480868
0.39070931,11.49292340
0.40606424,11.65812807
0.42167679,12.11236840
0.43725593,11.59596213
0.45277170,11.48699422
0.46497686,11.80981340
0.47256674,11.43575254
0.48343670,11.58461564
0.49904269,11.20521909
0.51470966,10.90972002
0.53025491,10.78771471
0.54580129,10.75978407
0.55800265,10.94653999
0.56564777,10.90388884
0.57661420,10.92688988
0.59223923,10.85668354
0.60786086,10.74105024
0.62334545,10.42581103
0.63876686,10.21102071
0.65395528,9.67650196
0.66577553,9.34844394
0.67310148,9.20269172
0.68314610,8.70185910
0.69684812,10.18591693
0.70976576,8.50584197
0.71909640,8.95247680
0.72376499,0.65165322
0.72673821,2.35872894
0.74108069,0.94829301
0.76277869,1.83013817
0.77946117,2.61707169
0.79480066,2.99693183
0.80589195,3.09079883
0.81261269,2.39923833
0.81584449,2.16159007
0.81891704,1.33317452
0.82279654,1.06222109
0.82792527,0.74870736
0.84563763,0.14629294
0.84906397,0.15568069
0.85295758,0.27523956
0.85688198,0.25034072
0.86024059,0.26112476
0.86213569,0.17458102
0.86472170,0.21969796
0.86885229,0.16812503
0.87461478,0.13571226
0.88250606,0.05394606
0.89058799,0.03621176
0.89835051,0.14068825
0.90606592,0.13318566
0.91798884,0.41498722
0.93171377,1.24388507
0.93929557,2.34620385
0.94933768,2.69325438
0.96518671,2.67316492
0.97974337,1.93208173
0.99208292,2.81993296
0.99911938,1.84165384
