z_over_c,WSS
0.00000000,10.25334741
0.00041042,5.58122699
0.00390750,1.77523699
0.01204477,0.06132973
0.02331090,1.45863398
0.03544573,3.41167693
0.04759443,5.36585932
0.06018410,6.70508852
0.07357406,7.65558865
0.08385022,8.19698619
0.09660474,8.19698619
0.11813362,8.45277950
0.14400494,9.33672698
0.17038754,9.67915168
0.19637673,10.24147711
0.22193378,10.34506666
0.24769517,10.66046248
0.27387618,11.16553754
0.29975763,11.42407275
0.31644919,11.40401300
0.32905971,10.99351367
0.35101122,11.28304913
0.37713373,11.50507828
0.40309677,11.12373303
0.42890505,11.67587076
0.45437947,11.12731844
0.48019331,10.97590041
0.50620890,10.80235945
0.53220104,10.30269660
0.55839411,10.13572488
0.58429617,10.18470117
0.61015567,10.05364211
0.63601727,9.59137150
0.66179501,8.69526768
0.68081079,8.34295939
0.69262308,7.60675019
0.70357627,8.49412275
0.71397519,7.15488439
0.72140302,7.67393733
0.72427641,3.94641961
0.72552816,12.65313333
0.72650057,9.86235416
0.72746403,7.01250517
0.73946150,3.57541524
0.75839016,1.64439771
0.77275816,1.42396030
0.78325057,1.21364969
0.78974615,1.50013009
0.79870759,1.78018092
0.80812760,2.51444867
0.81387382,2.34583912
0.81658561,2.34499979
0.81889749,2.27733392
0.82218576,2.06936001
0.82643246,2.04239889
0.83074512,1.28607907
0.84495811,0.05314537
0.84761466,0.17150092
0.85091248,0.32508827
0.85417812,0.56288118
0.85744393,0.61060870
0.86095274,0.73409669
0.86422270,1.27270591
0.86732394,1.27392402
0.87233070,1.23675911
0.87580788,1.36589495
0.87898655,1.36589495
0.88536640,1.26905426
0.89203818,1.27076711
0.89859907,1.20608491
0.90504704,1.16954720
0.91151221,1.12222164
0.91816661,1.07685611
0.92812452,1.05363394
0.94115960,0.98099394
0.95420379,0.93401288
0.96714717,0.68297250
0.97925135,0.42974294
0.98949822,0.27725162
0.99555053,0.51181424
0.99828527,0.46317126
0.99970402,0.26568151
1.00000000,0.32680289
