z_over_c,CP
0.00180609,-2.71101151
0.00890320,-4.11699824
0.02128104,-4.29709009
0.03532999,-2.93495425
0.05011024,-2.71159230
0.06546356,-2.92645348
0.07998146,-3.08672915
0.09454570,-3.01117382
0.10938402,-3.08491635
0.12406687,-2.92905958
0.13890014,-2.61849656
0.15382469,-2.37567938
0.16889488,-2.23600131
0.18418258,-1.95092597
0.19958653,-1.81590726
0.21516885,-1.72385710
0.23065868,-1.65334665
0.24592502,-1.59384656
0.26117330,-1.56614958
0.27665670,-1.53414050
0.29223207,-1.49734078
0.30764399,-1.44466881
0.32305770,-1.42667518
0.33855030,-1.38275334
0.35374824,-1.37436517
0.36901848,-1.32962245
0.38451922,-1.32390930
0.39982541,-1.27519397
0.41501376,-1.23186019
0.43039166,-1.13087811
0.44598103,-1.06598280
0.46155818,-1.01749767
0.47706809,-0.96881381
0.49249916,-0.91933988
0.50826236,-0.87750774
0.52334477,-0.84818450
0.53860139,-0.83106967
0.55487234,-0.78695222
0.56994308,-0.75108506
0.58513816,-0.72155827
0.60143411,-0.69205447
0.61642931,-0.67454926
0.63158091,-0.65690858
0.64772211,-0.60440752
0.66325237,-0.57844531
0.67863702,-0.55874593
0.69407251,-0.53567503
0.70958758,-0.51266332
0.72568576,-0.48028246
0.74069860,-0.45121144
0.75577158,-0.43231707
0.77192842,-0.41905103
0.78738394,-0.40326384
0.80273749,-0.38066428
0.81768033,-0.35824262
0.83320761,-0.34099936
0.84916522,-0.32084573
0.86471389,-0.30783309
0.88077660,-0.29316870
0.89627052,-0.28275594
0.91167572,-0.27031426
0.92155549,-0.26222025
0.92901589,-0.25739042
0.94243198,-0.24747921
0.95746807,-0.23452372
0.97242076,-0.22718056
0.98600409,-0.21313507
0.99560333,-0.22274796
