z_over_c,CP
0.00033996,-2.73259411
0.00426262,-6.11794796
0.00947646,-8.43539282
0.01784821,-7.26334037
0.03094658,-5.60025595
0.04483624,-5.16999334
0.05884728,-5.62534929
0.07311329,-6.07070417
0.09376627,-6.18179303
0.12113396,-6.21752386
0.14915451,-5.33235842
0.17764232,-4.34895225
0.18110097,1.04003363
0.20656676,-3.76450641
0.23567801,-3.47433908
0.26473799,-3.41195841
0.29371446,-3.32496582
0.32267708,-3.18600092
0.35190823,-3.10261935
0.37471622,0.54667380
0.38069015,-3.00515445
0.40920142,-3.00746161
0.43820881,-2.52916906
0.44318964,0.47106188
0.46733626,-2.31696608
0.49676930,-2.14687032
0.50170443,0.49495320
0.52594289,-2.01436288
0.55482128,-1.96419828
0.57822373,0.52230795
0.58441543,-1.75591916
0.61313411,-1.69673915
0.64183917,-1.59568975
0.67221321,-1.45101878
0.68325200,0.70105805
0.70070398,-1.41483265
0.72913821,-1.26841771
0.75901708,-1.15984548
0.77191478,0.85957250
0.78119549,-1.15946223
0.79571804,-1.12510350
0.80993145,-1.05841571
0.82431794,-0.96037344
0.83891990,-0.90760244
0.85413021,-0.85678849
0.86825584,-0.80756780
0.88242241,-0.77934949
0.89753825,-0.72927430
0.91210328,-0.68161134
0.92660970,-0.62737385
0.94074814,-0.56672935
0.95529401,-0.53046788
0.96989329,-0.50967467
0.98299198,-0.51140434
0.99325920,-0.53360105
0.99821267,-0.42268003
0.99956257,-0.29267722
1.00000000,-0.28973878
