z_over_c,WSS
0.00177667,94.22441030
0.00828300,102.46957663
0.01916733,86.70790598
0.03338940,50.84334374
0.04832286,42.33601707
0.06371794,45.72669985
0.07993328,48.33744381
0.09526186,48.88946932
0.11079862,47.52191200
0.12673022,42.85084657
0.14249380,36.68671808
0.15828660,28.36591720
0.17412589,24.91465104
0.19035732,22.32315078
0.20687313,19.73871375
0.22331467,18.38782191
0.23977906,18.12749059
0.25638994,18.47071180
0.27272851,18.75918580
0.28893041,17.88993882
0.30536205,17.70857309
0.32173588,16.78359276
0.33839164,16.90948560
0.35467202,15.89806352
0.37078951,15.97999152
0.38720418,16.34946204
0.40374622,16.86244452
0.41955419,13.09525182
0.43559050,11.86385216
0.45279009,10.85333029
0.46924716,10.32675343
0.48541892,9.55927860
0.50206527,9.02870604
0.51857446,8.59926544
0.53493561,8.28099010
0.55131807,7.89957858
0.56779718,7.68932098
0.58489738,6.67528054
0.60084815,6.38292929
0.61683951,6.19807987
0.63387303,5.84119349
0.65036497,5.26912849
0.66735043,4.73514167
0.68383308,4.56167436
0.69982102,4.49243120
0.71597468,4.07476466
0.73052676,0.90002045
0.73250609,3.92181794
0.73990711,0.72265781
0.74941159,3.74573301
0.76594024,3.74104383
0.78285494,3.85027619
0.79928049,3.76776822
0.81592128,3.48318106
0.83242602,3.36723086
0.84830352,3.29545574
0.86409347,3.26004267
0.88059577,3.21211677
0.89716479,3.15729786
0.91364537,3.04281718
0.93006184,2.90144735
0.94657831,2.75688732
0.96249066,2.71793585
0.96996968,2.68308049
0.97857903,2.79573195
0.98927540,3.06640516
0.99566410,2.54162789
0.99949908,1.85570844
0.99978564,0.77202920
1.00000000,1.00140247
