z_over_c,WSS
0.00075083,38.94759626
0.00245408,47.49440400
0.00807695,54.70139141
0.01882807,46.61593814
0.03127968,39.80809924
0.04511732,35.83682546
0.05903272,41.86386677
0.07280590,44.74744534
0.09387902,43.68205214
0.12142622,40.97825052
0.14937665,31.91603196
0.17778093,27.33368146
0.20657347,25.01959642
0.23551963,22.37647404
0.26439780,24.78416093
0.29322961,24.01975278
0.32206504,23.12133439
0.35084422,23.03982637
0.37946915,22.41767479
0.40825758,22.31736666
0.43667515,18.37723286
0.46548972,17.27849556
0.49492956,16.44646292
0.52392300,15.82320441
0.55274119,16.57201305
0.58174179,14.83622367
0.61088539,14.71538772
0.64053841,14.66866474
0.66961602,13.06015492
0.69792779,13.99172009
0.72688205,12.55416481
0.75673026,11.83697643
0.78567015,12.95469785
0.81380885,12.08978024
0.84283172,10.52554928
0.86461749,10.37737384
0.87912609,10.34846330
0.89362266,10.08405172
0.90787901,9.77123428
0.92236889,9.47099554
0.93752610,8.74429462
0.95173396,8.60865715
0.96558057,8.30903446
0.97947227,9.71797835
0.99110102,8.35642896
0.99772379,1.46756398
1.00000000,2.01451144
