z_over_c,CP
0.00000000,0.88716892
0.00325682,0.28833069
0.01270780,-0.38523664
0.02753590,-0.51438507
0.04234117,-0.58695415
0.05616098,-0.85767700
0.07056480,-1.06734000
0.08510853,-1.21728257
0.09926896,-1.32703249
0.11341887,-1.37637219
0.12810577,-1.28890596
0.14282884,-1.13749167
0.15769207,-1.06756282
0.17244747,-0.99606085
0.18757463,-0.93428946
0.20294611,-0.88103563
0.21805071,-0.85897929
0.23313445,-0.88164214
0.24823185,-0.90718284
0.26339618,-0.90612895
0.27852379,-0.91395264
0.29358345,-0.89220678
0.30866787,-0.91345131
0.32377362,-0.89380136
0.33886543,-0.90634327
0.35386803,-0.93411596
0.36890882,-0.97523675
0.38395100,-0.92130137
0.39888151,-0.91141507
0.41381116,-0.81907612
0.42896144,-0.77861350
0.44421926,-0.75999220
0.45938451,-0.74040699
0.47457590,-0.69244660
0.48978219,-0.67274676
0.50511555,-0.66514246
0.52030921,-0.65845190
0.53521320,-0.64957303
0.55040281,-0.62787919
0.56575974,-0.59722460
0.58096634,-0.57881870
0.59612772,-0.59941113
0.61136970,-0.61275549
0.62640980,-0.55419006
0.64151131,-0.53017361
0.65686116,-0.51956511
0.67206858,-0.51691207
0.68752866,-0.51804743
0.70266883,-0.50609443
0.71760927,-0.45725445
0.73289969,-0.43569556
0.74813196,-0.45423620
0.76331901,-0.45679939
0.77847235,-0.46408279
0.79359002,-0.46925166
0.80873181,-0.40456558
0.82393637,-0.38341882
0.83928188,-0.37109036
0.85424451,-0.36078801
0.86934112,-0.35026652
0.88479218,-0.34858737
0.90017218,-0.34104529
0.91508687,-0.31699007
0.93007188,-0.29138374
0.94550875,-0.27442976
0.96058840,-0.26511231
0.97450509,-0.27670837
0.98711293,-0.24734731
0.99465324,-0.26123145
0.99787585,-0.13749988
1.00000000,-0.15556923
