z_over_c,CP
0.00033996,-1.04267890
0.00426262,-2.42815170
0.00947646,-3.38948471
0.01784821,-2.93812930
0.03094658,-2.27101847
0.04483624,-2.10219243
0.05884728,-2.29156224
0.07311329,-2.47841959
0.09376627,-2.52766762
0.12113396,-2.54462559
0.14915451,-2.18373384
0.17764232,-1.77916193
0.20656676,-1.53906188
0.23567801,-1.42088798
0.26473799,-1.39136203
0.29371446,-1.35298972
0.32267708,-1.29600320
0.35190823,-1.25939356
0.38069015,-1.22000266
0.40920142,-1.21588334
0.43820881,-1.02445403
0.46733626,-0.93883018
0.49676930,-0.87103316
0.52594289,-0.81603372
0.55482128,-0.78910457
0.58441543,-0.70833259
0.61313411,-0.68007326
0.64183917,-0.63066880
0.67221321,-0.57434847
0.70070398,-0.55355423
0.72913821,-0.48525863
0.75901708,-0.44484466
0.78119549,-0.43013927
0.79571804,-0.41631362
0.80993145,-0.39646156
0.82431794,-0.37827949
0.83891990,-0.37650990
0.85413021,-0.36695687
0.86825584,-0.34245108
0.88242241,-0.31800514
0.89753825,-0.27373550
0.91210328,-0.25011573
0.92660970,-0.23906020
0.94074814,-0.22034243
0.95529401,-0.20771159
0.96989329,-0.18092033
0.98299198,-0.16304387
0.99325920,-0.14485514
0.99821267,-0.14322007
0.99956257,-0.14484584
