z_over_c,WSS
0.00180609,42.42740638
0.00890320,54.04093816
0.02128104,44.62657121
0.03532999,32.22799953
0.05011024,26.61906303
0.06546356,28.80685927
0.07998146,32.15334874
0.09454570,29.79323272
0.10938402,27.90034106
0.12406687,22.94524892
0.13890014,16.78484287
0.15382469,11.42219675
0.16889488,7.70038671
0.18418258,4.73138883
0.19958653,3.76751988
0.21516885,2.65150186
0.23065868,2.47410236
0.24592502,1.39224236
0.26117330,1.31619270
0.27665670,3.33291198
0.29223207,3.96943044
0.30764399,3.07006790
0.32305770,1.97559028
0.33855030,1.59373679
0.35374824,1.42256770
0.36901848,1.36259884
0.38451922,1.32731658
0.39982541,1.34272492
0.41501376,1.32723935
0.43039166,1.30622176
0.44598103,1.32003064
0.46155818,1.35141161
0.47706809,1.37375876
0.49249916,1.38444159
0.50826236,1.40230726
0.52334477,1.47128063
0.53860139,1.50154690
0.55487234,1.52937731
0.56994308,1.55301347
0.58513816,1.57715530
0.60143411,1.65030569
0.61642931,1.75604648
0.63158091,1.75722803
0.64772211,1.76239084
0.66325237,1.82815563
0.67863702,1.89964237
0.69407251,1.97517224
0.70958758,2.00919400
0.72568576,2.02862822
0.74069860,1.99973252
0.75577158,2.09268282
0.77192842,2.23082167
0.78738394,2.26234897
0.80273749,2.27963218
0.81768033,2.29116919
0.83320761,2.30311425
0.84916522,2.32877387
0.86471389,2.35384331
0.88077660,2.40665107
0.89627052,2.45198269
0.91167572,2.45000922
0.92155549,2.50467921
0.92901589,2.47535100
0.94243198,2.47998904
0.95746807,2.53562163
0.97242076,2.62473696
0.98600409,2.97330219
0.99560333,3.67297128
1.00000000,3.63191291
