z_over_c,WSS
0.00033996,84.70167353
0.00426262,147.62823926
0.00947646,159.13971831
0.01784821,122.05257574
0.03094658,100.16216417
0.04483624,81.59011905
0.05884728,91.62318048
0.07311329,98.62480106
0.09376627,98.89349892
0.12113396,94.59936512
0.14915451,72.60624284
0.17764232,57.41384670
0.18110097,21.69192210
0.20656676,46.54337141
0.23567801,42.28690298
0.26473799,43.95548037
0.29371446,45.25695675
0.32267708,42.75874087
0.35190823,42.45650459
0.37471622,24.77372158
0.38069015,41.79805890
0.40920142,39.63219059
0.43820881,31.71106419
0.44318964,24.91117211
0.46733626,28.69288701
0.49676930,26.34217797
0.50170443,23.38835098
0.52594289,23.96103616
0.55482128,25.54775302
0.57822373,21.96770946
0.58441543,21.80136004
0.61313411,20.84635618
0.64183917,20.14431658
0.67221321,16.93920815
0.68325200,16.67819114
0.70070398,18.58552106
0.72913821,15.00493719
0.75901708,12.94333617
0.77191478,4.17348346
0.78119549,14.15797368
0.79571804,11.89785200
0.80993145,10.13102826
0.82431794,8.66552208
0.83891990,8.15081375
0.85413021,7.88645482
0.86825584,7.95519781
0.88242241,7.51709368
0.89753825,5.87841477
0.91210328,4.02436121
0.92660970,2.46139558
0.94074814,2.03305352
0.95529401,1.80407715
0.96989329,1.25827171
0.98299198,0.41459156
0.99325920,0.92148904
0.99821267,1.02547583
0.99956257,1.34717018
1.00000000,1.91043377
