z_over_c,CP
0.00180609,-1.24853971
0.00890320,-2.42287371
0.02128104,-2.69990094
0.03532999,-1.82596605
0.05011024,-1.65108845
0.06546356,-1.81252699
0.07998146,-1.92447084
0.09454570,-1.84748105
0.10938402,-1.86391123
0.12406687,-1.71129038
0.13890014,-1.45186792
0.15382469,-1.24253002
0.16889488,-1.10989367
0.18418258,-0.88711126
0.19958653,-0.79060802
0.21516885,-0.73081401
0.23065868,-0.70109532
0.24592502,-0.67572893
0.26117330,-0.66934939
0.27665670,-0.65475391
0.29223207,-0.64598839
0.30764399,-0.63211191
0.32305770,-0.62310682
0.33855030,-0.61627785
0.35374824,-0.62424608
0.36901848,-0.63311313
0.38451922,-0.66238524
0.39982541,-0.69580774
0.41501376,-0.73155402
0.43039166,-0.76480976
0.44598103,-0.77940663
0.46155818,-0.78145855
0.47706809,-0.76780447
0.49249916,-0.74008972
0.50826236,-0.69558200
0.52334477,-0.63623236
0.53860139,-0.56407585
0.55487234,-0.48103631
0.56994308,-0.43371317
0.58513816,-0.40771226
0.60143411,-0.40469006
0.61642931,-0.42003337
0.63158091,-0.44219180
0.64772211,-0.47797533
0.66325237,-0.51468727
0.67863702,-0.55800515
0.69407251,-0.59262144
0.70958758,-0.62800015
0.72568576,-0.66346514
0.74069860,-0.68417676
0.75577158,-0.70862574
0.77192842,-0.73036553
0.78738394,-0.74404730
0.80273749,-0.75594114
0.81768033,-0.75745450
0.83320761,-0.75656764
0.84916522,-0.74935455
0.86471389,-0.73768758
0.88077660,-0.71637574
0.89627052,-0.69242926
0.91167572,-0.65410744
0.92155549,-0.62588471
0.92901589,-0.60651607
0.94243198,-0.56218538
0.95746807,-0.52143134
0.97242076,-0.47684078
0.98600409,-0.44648930
0.99560333,-0.39332650
