z_over_c,CP
0.00000000,-0.39645383
0.00177667,-1.66821870
0.00828300,-2.90269348
0.01916733,-3.16511201
0.03338940,-2.25312428
0.04832286,-1.76185554
0.06371794,-1.82459312
0.07993328,-1.86079490
0.09526186,-1.84218598
0.11079862,-1.77810379
0.12673022,-1.56553569
0.14249380,-1.39318020
0.15828660,-1.05940100
0.17412589,-0.89247068
0.19035732,-0.78401825
0.20687313,-0.71106633
0.22331467,-0.68210035
0.23977906,-0.67534149
0.25638994,-0.66325504
0.27272851,-0.70395382
0.28893041,-0.72929216
0.30536205,-0.75658900
0.32173588,-0.76156445
0.33839164,-0.75842885
0.35467202,-0.74179462
0.37078951,-0.73085085
0.38720418,-0.71092601
0.40374622,-0.68590036
0.41955419,-0.66305959
0.43559050,-0.62737046
0.45279009,-0.57498580
0.46924716,-0.52849306
0.48541892,-0.47406059
0.50206527,-0.43730663
0.51857446,-0.42048282
0.53493561,-0.41265575
0.55131807,-0.41723795
0.56779718,-0.42899745
0.58489738,-0.44795518
0.60084815,-0.46184606
0.61683951,-0.48048397
0.63387303,-0.49575820
0.65036497,-0.50860560
0.66735043,-0.51949887
0.68383308,-0.53327069
0.69982102,-0.54096897
0.71597468,-0.54916091
0.73250609,-0.55748964
0.74941159,-0.56473304
0.76594024,-0.57309646
0.78285494,-0.58241491
0.79928049,-0.58514709
0.81592128,-0.58870727
0.83242602,-0.58940320
0.84830352,-0.59021637
0.86409347,-0.58895226
0.88059577,-0.58885372
0.89716479,-0.58585576
0.91364537,-0.58561820
0.93006184,-0.58404284
0.94657831,-0.58803651
0.96249066,-0.58889994
0.96996968,-0.58506503
0.97857903,-0.58837199
0.98927540,-0.57704093
0.99566410,-0.57335660
0.99949908,-0.56192496
