z_over_c,WSS
0.00000000,21.43178628
0.00413927,23.59584761
0.01366336,21.88408300
0.02684776,15.67710481
0.04201732,16.45187029
0.05835293,20.11508471
0.07384523,26.24216503
0.08936917,26.17353182
0.10545074,23.24798708
0.12146894,20.11460092
0.13737643,13.54708703
0.15349756,7.14841958
0.16964059,6.64909723
0.18558111,4.27349815
0.20202766,2.54285297
0.21881798,2.23427152
0.23544213,2.50939313
0.25217848,2.53360721
0.26859564,2.55811163
0.28512841,2.56995557
0.30194303,2.62114493
0.31879371,2.54432183
0.33513446,2.63983204
0.35139217,2.59946871
0.36817068,2.65208036
0.38482344,2.65701540
0.40130962,2.99506981
0.41767270,3.17880238
0.43411008,3.67568585
0.45067736,4.13412345
0.46791234,4.87422774
0.48393507,5.36262408
0.50008649,5.62825786
0.51731379,5.83980422
0.53399891,5.86838572
0.55116739,5.29566218
0.56785047,4.98210526
0.58416214,4.38807720
0.60029270,3.81920092
0.61697314,3.09354345
0.63393270,2.45431821
0.65061380,2.02223100
0.66751512,1.93559405
0.68421334,2.08304449
0.70110647,2.23475334
0.71777063,2.23809747
0.73448859,2.16534882
0.75124394,2.08749899
0.76809266,1.95054237
0.78476116,1.78966721
0.80138485,1.62032571
0.81801636,1.47916875
0.83445915,1.37574408
0.85117748,1.21072329
0.86767370,1.07400492
0.88437522,0.92147785
0.90075973,0.79392187
0.91743611,0.69861933
0.93081838,0.58618778
0.93917327,0.56043456
0.95188968,0.56568683
0.96834646,0.50683273
0.98317160,0.60743217
0.99081970,1.25844113
0.99127823,1.25844113
0.99153947,1.25844113
0.99579040,1.25844113
1.00000000,1.65153634
