z_over_c,WSS
0.00219342,23.93041460
0.00600539,17.41571822
0.01021400,18.08369616
0.01545280,26.02109382
0.02450259,48.63092968
0.03659927,66.67039921
0.04913051,81.87806130
0.05709601,100.35984788
0.06015852,100.35984788
0.07109311,100.35984788
0.08352225,100.37794726
0.09526133,102.95911713
0.11642165,100.46073746
0.14138340,85.18987727
0.16661137,69.06569470
0.19233292,56.37792355
0.21817040,61.41300515
0.24387402,51.03727387
0.26952608,56.79201297
0.29535570,55.36515130
0.32117923,53.85818643
0.34684333,53.46911648
0.37252017,51.03915160
0.39859153,50.34588169
0.42405436,44.01843224
0.44932940,38.46733141
0.47537796,37.33176009
0.50184719,35.03190620
0.52745480,32.57555935
0.55278141,34.77334297
0.57900521,31.66367641
0.60510142,30.54168623
0.63096395,29.63541944
0.65671320,28.06236696
0.68300801,27.24429392
0.70888337,26.23535542
0.73447158,24.74189122
0.76079792,23.03385110
0.78665249,24.15189083
0.81213206,23.30426963
0.83809786,20.11383724
0.85757910,19.37575576
0.87051151,18.87744570
0.88314503,18.49653971
0.89608013,18.01801432
0.90947328,17.38486766
0.92242119,16.36955963
0.93525717,15.56089282
0.94790325,14.95585715
0.96084379,14.69083912
0.97383945,14.60765993
0.98517586,16.31203065
0.99387260,14.02426989
0.99834943,2.94631684
0.99964945,1.72353814
